NF,VALOR NF,PESO,QTD. BOBINAS,TRANSPORTADOR,MODAL,ORIGEM,DESTINO,UF DEST,CONTÊINER,CUSTO TRANSP.,VLR ADICIONAL,VALOR DO FRETE,ADV,BAF,INFRAEST. PEDAGIO,IMPOSTOS,DATA CARREG
52024,245593.2,24697,512,ID CARGO BRASIL,Cabotagem,Manaus AM,ANTA GORDA,RS,14749282024,9780.44,,9780.44,,,,,2024-01-18
622024,269890.08,20465.58,30,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,11930272024,15856.42,,15856.42,,,,,2024-02-01
702024,293969.9,19136,42,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,AMFU88355662024,16718.63,,13316.65,,,,,2024-02-07
712024,59027.3,4105,4,LOG-IN,Cabotagem,Manaus AM,ANTA GORDA,RS,AMFU88355662024,,,2841.98,,,,,2024-02-07
722024,377654.6,24489.2,55,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,DFSU65064742024,16248.29,,16248.29,,,,,2024-02-08
732024,383714.9,24755.8,56,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CIPU50203892024,19276.01,3005.68,16270.33,,,,,2024-02-09
762024,383293.3,24728.6,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,AMFU89162302024,16126.75,653.41,15473.34,,,,,2024-02-15
772024,386590.15,24941.3,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSNU74257062024,16280.78,,16280.78,,,,,2024-02-16
802024,386044.55,24906.1,56,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CAIU48330542024,15483.34,,15483.34,,,,,2024-02-17
812024,381193.05,24593.1,56,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TCLU87018282024,15465.7,,15465.7,,,,,2024-02-17
792024,378054.3,24390.6,55,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU85000292024,15454.29,,15454.29,,,,,2024-02-17
842024,385658.6,24881.2,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSMU48522962024,15481.94,,15481.94,,,,,2024-02-20
832024,385643.1,24880.2,50,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,AMFU89421372024,15481.88,,15481.88,,,,,2024-02-20
872024,386597.9,24941.8,51,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TCLU82928642024,17968.31,2482.95,15485.36,,,,,2024-02-21
862024,385782.6,24889.2,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TCLU81688112024,15482.3,,15482.3,,,,,2024-02-21
922024,382786.45,24695.9,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSMU73679102024,17562.41,2090.91,15471.5,,,,,2024-02-22
912024,436966.7,28191.4,54,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,PMG3639 2024,22228.29,,22228.29,,,,,2024-02-22
902024,303987.55,19612.1,35,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,RAA4J732024,21774.95,,21774.95,,,,,2024-02-22
942024,295137.05,19041.1,45,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,PMZ4B962024,21744.78,,21744.78,,,,,2024-02-23
932024,387047.4,24970.8,49,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU82586352024,15486.99,,15486.99,,,,,2024-02-23
952024,449898.05,29241.7,60,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,EJY61332024,22272.38,,22272.38,,,,,2024-02-24
962024,356839.2,24609.6,67,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CIPU50225302024,19740.78,4363.64,15377.14,,,,,2024-02-26
982024,358872.1,24749.8,64,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CIPU50247592024,15384.53,,15384.53,,,,,2024-02-27
992024,357108.9,24628.2,69,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSDU58413052024,18650.850000000002,3272.73,15378.12,,,,,2024-02-28
1012024,280159.77,24792.9,18,ALIANÇA,Cabotagem,Manaus AM,CAMACARI,BA,HASU41957202024,10501.77,,10501.77,,,,,2024-02-29
1032024,357396,24648,54,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,SEGU41178852024,15379.17,,15379.17,,,,,2024-02-29
1022024,281586.96,24919.2,18,LOG-IN,Cabotagem,Manaus AM,CAMACARI,BA,LOGIN2024,15400,,15400,,,,,2024-02-29
1052024,361545.9,24934.2,49,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,SEGU40471552024,15394.26,,15394.26,,,,,2024-03-05
1042024,354722.2,24463.6,56,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSDU62716692024,16937.62,1568.18,15369.44,,,,,2024-03-05
1072024,359602.9,24800.2,49,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SUDU 66037782024,14841.36,,14841.36,,,,,2024-03-07
1082024,356006.9,24552.2,47,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,PONU82214042024,14837.28,,14837.28,,,,,2024-03-08
1102024,357425,24650,59,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU56979512024,14838.89,,14838.89,,,,,2024-03-08
1112024,386842.8,24957.6,55,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU14993692024,14872.32,,14872.32,,,,,2024-03-11
1132024,387155.9,24977.8,50,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU54067502024,14872.68,,14872.68,,,,,2024-03-11
1152024,383721.1,24756.2,51,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU51099422024,14868.77,,14868.77,,,,,2024-03-12
1172024,304550.24,25232,18,ALIANÇA,Cabotagem,Manaus AM,CAMACARI,BA,MRSU55535772024,10598.78,,10598.78,,,,,2024-03-13
1182024,384186.1,24786.2,44,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU16188952024,14869.31,,14869.31,,,,,2024-03-14
1342024,379354.2,25014.8,41,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU52070502024,14863.81,,14863.81,,,,,2024-03-25
1362024,389922.65,25156.3,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU43726982024,14875.82,,14875.82,,,,,2024-03-26
1352024,376615.9,24297.8,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU56053102024,14860.7,,14860.7,,,,,2024-03-26
1382024,391196.75,25238.5,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU92965212024,14877.27,,14877.27,,,,,2024-03-27
1372024,390066.8,25165.6,43,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SUDU58322402024,14875.99,,14875.99,,,,,2024-03-27
62024,261036,22853.4,17,ALIANÇA,Cabotagem,Manaus AM,ANTA GORDA,RS,DFSU62055682024,15568.23,,15568.23,,,,,2024-03-28
1402024,368126.55,25933.5,61,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU37320822024,14873.78,,14873.78,,,,,2024-03-28
1412024,356277.35,24256.5,69,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,GCXU5724418 2024,14860.32,,14860.32,,,,,2024-03-28
1392024,389164.7,25107.4,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU15002642024,14897.68,,14897.68,,,,,2024-03-28
